City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
3,Bandarbeyla,SO,76.21,clear sky,9.4942,50.8122,JABIR HOTEL
7,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
11,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Pizarro,CO,76.64,light rain,4.9533,-77.366,Hotel Limonar
20,Faanui,PF,81.37,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
24,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
25,Rikitea,PF,76.5,overcast clouds,-23.1203,-134.9692,People ThankYou
28,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Butaritari,KI,80.82,moderate rain,3.0707,172.7902,Isles Sunset Lodge
35,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,San Rafael,AR,77.79,clear sky,-34.6177,-68.3301,Hotel San Rafael
46,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
54,Tutoia,BR,81.36,scattered clouds,-2.7619,-42.2744,Pousada Guará's
55,Wajir,KE,78.75,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
58,Trinidad,BO,75.18,moderate rain,-14.8333,-64.9,Hotel Piesta
59,Kalmunai,LK,76.86,clear sky,7.4167,81.8167,VS Villa
63,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
72,Celmira,PA,82.58,scattered clouds,8.5433,-82.8028,Hotel la posada
74,Port-Gentil,GA,80.56,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
76,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
77,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
81,Chimbarongo,CL,88.18,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
90,Kaya,BF,77.0,few clouds,13.0917,-1.0844,Maison de l'appelé
