City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cap Malheureux,MU,-19.9842,57.6142,78.48,70,5,3.0,clear sky
1,Cape Town,ZA,-33.9258,18.4232,61.27,90,75,3.0,moderate rain
2,Mataura,NZ,-46.1927,168.8643,55.47,47,92,5.06,overcast clouds
3,Bandarbeyla,SO,9.4942,50.8122,76.21,64,5,16.08,clear sky
4,Salalah,OM,17.0151,54.0924,71.31,41,0,7.54,clear sky
5,Srednekolymsk,RU,67.45,153.6833,-48.75,100,73,4.61,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,64.65,50,45,1.99,scattered clouds
7,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,17.27,clear sky
8,Albany,US,42.6001,-73.9662,37.58,61,97,4.61,overcast clouds
9,Flinders,AU,-34.5833,150.8552,69.19,68,98,7.27,overcast clouds
10,Tigil,RU,57.8,158.6667,22.75,92,100,23.91,snow
11,Hithadhoo,MV,-0.6,73.0833,81.27,78,100,12.3,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,47.86,53,40,25.32,scattered clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,63.88,78,0,15.99,clear sky
14,Kashan,IR,33.9831,51.4364,49.08,40,45,4.61,scattered clouds
15,Magnolia,US,33.2671,-93.2393,73.08,73,100,8.08,overcast clouds
16,Hobart,AU,-42.8794,147.3294,65.01,55,75,4.0,broken clouds
17,Komsomolskiy,UZ,40.4272,71.7189,38.62,80,100,6.91,mist
18,Pizarro,CO,4.9533,-77.366,76.64,93,100,9.28,light rain
19,Port Lincoln,AU,-34.7333,135.8667,64.36,61,3,5.55,clear sky
20,Faanui,PF,-16.4833,-151.75,81.37,66,44,17.02,scattered clouds
21,Hargeysa,SO,9.56,44.065,55.65,96,31,6.44,scattered clouds
22,Port Alfred,ZA,-33.5906,26.891,68.59,92,100,5.99,overcast clouds
23,Georgetown,MY,5.4112,100.3354,77.9,78,20,9.22,few clouds
24,Saint-Pierre,RE,-21.3393,55.4781,76.64,72,0,6.91,clear sky
25,Rikitea,PF,-23.1203,-134.9692,76.5,74,99,8.61,overcast clouds
26,Okha,RU,53.5739,142.9478,8.33,94,84,5.86,broken clouds
27,Pevek,RU,69.7008,170.3133,-9.47,96,100,17.13,light snow
28,Saint-Philippe,RE,-21.3585,55.7679,76.55,79,37,10.47,scattered clouds
29,Pucara,PE,-15.9803,-71.4606,37.53,88,100,8.72,moderate rain
30,Thompson,CA,55.7435,-97.8558,-18.24,69,1,9.22,clear sky
31,Katghora,IN,22.5,82.55,62.31,77,84,5.28,broken clouds
32,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,11.5,broken clouds
33,Mizusawa,JP,39.1333,141.1333,28.72,77,9,0.96,clear sky
34,Butaritari,KI,3.0707,172.7902,80.82,83,100,11.97,moderate rain
35,Vaini,TO,-21.2,-175.2,84.36,84,40,11.5,scattered clouds
36,San Rafael,AR,-34.6177,-68.3301,77.79,38,1,10.11,clear sky
37,Canby,US,45.2629,-122.6926,47.44,74,1,1.99,clear sky
38,Turtas,RU,58.9417,69.1325,0.21,94,32,4.27,scattered clouds
39,Quesnel,CA,52.9999,-122.5029,18.1,93,1,3.44,clear sky
40,Artyom,AZ,40.4723,50.333,50.14,85,100,21.56,overcast clouds
41,Christchurch,NZ,-43.5333,172.6333,53.02,87,75,10.36,broken clouds
42,Castro,BR,-24.7911,-50.0119,63.46,90,88,3.58,overcast clouds
43,Avera,US,33.194,-82.5271,66.07,69,100,5.03,overcast clouds
44,Boysun,UZ,38.2061,67.1986,39.06,66,2,4.16,clear sky
45,Bluff,NZ,-46.6,168.3333,55.8,50,59,14.12,broken clouds
46,Atuona,PF,-9.8,-139.0333,78.46,76,5,18.14,clear sky
47,Constitucion,CL,-35.3333,-72.4167,63.73,68,5,4.94,clear sky
48,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,18.41,few clouds
49,Baruun-Urt,MN,46.6806,113.2792,18.28,71,2,8.25,clear sky
50,Hermanus,ZA,-34.4187,19.2345,60.91,94,100,10.36,light rain
51,Fairbanks,US,64.8378,-147.7164,8.92,77,75,0.0,broken clouds
52,Rabat,MA,33.9911,-6.8401,53.04,100,32,0.0,scattered clouds
53,Ostrovnoy,RU,68.0531,39.5131,9.59,73,83,23.38,broken clouds
54,Tutoia,BR,-2.7619,-42.2744,81.36,83,27,13.67,scattered clouds
