City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.7506,-68.5145,8.33,78,90,28.77,CA,2021-12-04 22:48:29
1,Karratha,-20.7377,116.8463,88.66,27,49,15.12,AU,2021-12-04 22:48:29
2,Cayenne,4.9333,-52.3333,77.04,91,75,2.3,GF,2021-12-04 22:48:30
3,Saskylakh,71.9167,114.0833,-19.53,98,100,5.57,RU,2021-12-04 22:48:30
4,New Norfolk,-42.7826,147.0587,58.75,53,3,1.99,AU,2021-12-04 22:48:30
5,Port Elizabeth,-33.918,25.5701,63.1,94,90,10.36,ZA,2021-12-04 22:48:31
6,Nsanje,-16.92,35.262,79.54,62,38,3.65,MW,2021-12-04 22:48:31
7,Murmashi,68.8154,32.8115,-3.26,99,15,3.56,RU,2021-12-04 22:48:31
8,Bredasdorp,-34.5322,20.0403,61.29,92,100,19.33,ZA,2021-12-04 22:48:32
9,Punta Arenas,-53.15,-70.9167,55.51,47,20,24.16,CL,2021-12-04 22:47:34
10,Cidreira,-30.1811,-50.2056,70.18,79,100,18.84,BR,2021-12-04 22:48:32
11,Kapaa,22.0752,-159.319,72.48,72,75,1.01,US,2021-12-04 22:48:32
12,Rikitea,-23.1203,-134.9692,76.17,71,50,9.33,PF,2021-12-04 22:48:33
13,Arraial Do Cabo,-22.9661,-42.0278,73.29,81,6,9.24,BR,2021-12-04 22:48:33
14,Varhaug,58.6147,5.6457,36.9,65,100,32.73,NO,2021-12-04 22:48:33
15,Albany,42.6001,-73.9662,40.68,78,87,7.27,US,2021-12-04 22:47:01
16,Camacha,33.0833,-16.3333,63.36,59,75,16.11,PT,2021-12-04 22:48:34
17,Pevek,69.7008,170.3133,-24.41,99,91,6.11,RU,2021-12-04 22:48:34
18,Abnub,27.2696,31.1511,57.42,29,56,5.79,EG,2021-12-04 22:48:35
19,Longyearbyen,78.2186,15.6401,19.24,73,75,18.41,SJ,2021-12-04 22:48:35
20,Dikson,73.5069,80.5464,-22.25,99,100,11.05,RU,2021-12-04 22:48:35
21,Mataura,-46.1927,168.8643,55.47,91,100,6.17,NZ,2021-12-04 22:43:59
